TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Hawks,East,60,22,0.732,2014-15,1
Warriors,West,67,15,0.817,2014-15,1
Cavaliers,East,53,29,0.646,2014-15,1
Rockets,West,56,26,0.683,2014-15,1
Clippers,West,56,26,0.683,2014-15,1
Bulls,East,50,32,0.61,2014-15,1
Raptors,East,49,33,0.598,2014-15,1
Trail Blazers,West,51,31,0.622,2014-15,1
Wizards,East,46,36,0.561,2014-15,1
Grizzlies,West,55,27,0.671,2014-15,1
Bucks,East,41,41,0.5,2014-15,1
Spurs,West,55,27,0.671,2014-15,1
Mavericks,West,50,32,0.61,2014-15,1
Celtics,East,40,42,0.488,2014-15,1
Pelicans,West,45,37,0.549,2014-15,1
Nets,East,38,44,0.463,2014-15,1
Pacers,East,38,44,0.463,2014-15,0
Thunder,West,45,37,0.549,2014-15,0
Heat,East,37,45,0.451,2014-15,0
Suns,West,39,43,0.476,2014-15,0
Hornets,East,33,49,0.402,2014-15,0
Jazz,West,38,44,0.463,2014-15,0
Pistons,East,32,50,0.39,2014-15,0
Nuggets,West,30,52,0.366,2014-15,0
Kings,West,29,53,0.354,2014-15,0
Magic,East,25,57,0.305,2014-15,0
Lakers,West,21,61,0.256,2014-15,0
76ers,East,18,64,0.22,2014-15,0
Knicks,East,17,65,0.207,2014-15,0
Timberwolves,West,16,66,0.195,2014-15,0
