,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Atlanta Hawks,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boston Celtics,0,1,0,0,0,0,1,0,1,1,0,1,2,1,1
Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Charlotte Hornets,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Chicago Bulls,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Cleveland Cavaliers,0,0,0,0,2,1,1,1,0,0,0,0,1,0,2
Dallas Mavericks,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Denver Nuggets,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Detroit Pistons,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Golden State Warriors,0,0,1,1,2,3,3,2,2,0,1,1,1,1,1
Houston Rockets,0,0,1,2,1,0,1,1,1,2,0,0,0,0,0
Indiana Pacers,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1
Los Angeles Clippers,0,2,2,2,3,2,1,0,0,1,2,0,0,1,1
Los Angeles Lakers,2,2,2,0,0,0,0,0,1,2,1,1,1,2,1
Memphis Grizzlies,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Miami Heat,2,2,2,1,0,0,0,0,0,1,1,0,1,0,0
Milwaukee Bucks,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Minnesota Timberwolves,0,1,0,1,0,0,0,2,0,0,0,1,0,1,1
New Orleans Pelicans,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
New York Knicks,1,2,1,0,0,0,0,0,0,0,1,0,1,1,2
Oklahoma City Thunder,2,2,2,1,1,2,1,2,2,1,0,0,1,1,2
Orlando Magic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Phoenix Suns,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0
Portland Trail Blazers,1,0,0,2,1,1,0,1,1,1,1,0,1,0,0
Sacramento Kings,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0
San Antonio Spurs,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0
Toronto Raptors,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
Utah Jazz,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Washington Wizards,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
