TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Heat,East,53,29,0.646,2021-22,1
Suns,West,64,18,0.78,2021-22,1
Celtics,East,51,31,0.622,2021-22,1
Grizzlies,West,56,26,0.683,2021-22,1
Bucks,East,51,31,0.622,2021-22,1
Warriors,West,53,29,0.646,2021-22,1
76ers,East,51,31,0.622,2021-22,1
Mavericks,West,52,30,0.634,2021-22,1
Jazz,West,49,33,0.598,2021-22,1
Raptors,East,48,34,0.585,2021-22,1
Bulls,East,46,36,0.561,2021-22,1
Nuggets,West,48,34,0.585,2021-22,1
Timberwolves,West,46,36,0.561,2021-22,1
Nets,East,44,38,0.537,2021-22,1
Cavaliers,East,44,38,0.537,2021-22,1
Clippers,West,42,40,0.512,2021-22,1
Hawks,East,43,39,0.524,2021-22,0
Pelicans,West,36,46,0.439,2021-22,0
Spurs,West,34,48,0.415,2021-22,0
Hornets,East,43,39,0.524,2021-22,0
Knicks,East,37,45,0.451,2021-22,0
Lakers,West,33,49,0.402,2021-22,0
Kings,West,30,52,0.366,2021-22,0
Wizards,East,35,47,0.427,2021-22,0
Pacers,East,25,57,0.305,2021-22,0
Trail Blazers,West,27,55,0.329,2021-22,0
Pistons,East,23,59,0.28,2021-22,0
Thunder,West,24,58,0.293,2021-22,0
Rockets,West,20,62,0.244,2021-22,0
Magic,East,22,60,0.268,2021-22,0
